[2024-10-23T10:47:10.493-0300] {processor.py:161} INFO - Started process (PID=16543) to work on /home/beatriz/Documentos/airflow/airflow_venv/lib/python3.10/site-packages/airflow/example_dags/example_datasets.py
[2024-10-23T10:47:10.494-0300] {processor.py:830} INFO - Processing file /home/beatriz/Documentos/airflow/airflow_venv/lib/python3.10/site-packages/airflow/example_dags/example_datasets.py for tasks to queue
[2024-10-23T10:47:10.495-0300] {logging_mixin.py:188} INFO - [2024-10-23T10:47:10.495-0300] {dagbag.py:540} INFO - Filling up the DagBag from /home/beatriz/Documentos/airflow/airflow_venv/lib/python3.10/site-packages/airflow/example_dags/example_datasets.py
[2024-10-23T10:47:10.505-0300] {processor.py:840} INFO - DAG(s) 'dataset_produces_1', 'dataset_produces_2', 'dataset_consumes_1_and_2', 'consume_1_and_2_with_dataset_expressions', 'dataset_consumes_unknown_never_scheduled', 'dataset_consumes_1', 'dataset_consumes_1_never_scheduled', 'conditional_dataset_and_time_based_timetable', 'consume_1_or_both_2_and_3_with_dataset_expressions', 'consume_1_or_2_with_dataset_expressions' retrieved from /home/beatriz/Documentos/airflow/airflow_venv/lib/python3.10/site-packages/airflow/example_dags/example_datasets.py
[2024-10-23T10:47:10.637-0300] {logging_mixin.py:188} INFO - [2024-10-23T10:47:10.637-0300] {dag.py:3096} INFO - Sync 10 DAGs
[2024-10-23T10:47:10.736-0300] {logging_mixin.py:188} INFO - [2024-10-23T10:47:10.736-0300] {dag.py:3954} INFO - Setting next_dagrun for conditional_dataset_and_time_based_timetable to 2024-10-23 01:00:00+00:00, run_after=2024-10-23 01:00:00+00:00
[2024-10-23T10:47:10.739-0300] {logging_mixin.py:188} INFO - [2024-10-23T10:47:10.738-0300] {dag.py:3954} INFO - Setting next_dagrun for consume_1_and_2_with_dataset_expressions to None, run_after=None
[2024-10-23T10:47:10.739-0300] {logging_mixin.py:188} INFO - [2024-10-23T10:47:10.739-0300] {dag.py:3954} INFO - Setting next_dagrun for consume_1_or_2_with_dataset_expressions to None, run_after=None
[2024-10-23T10:47:10.740-0300] {logging_mixin.py:188} INFO - [2024-10-23T10:47:10.740-0300] {dag.py:3954} INFO - Setting next_dagrun for consume_1_or_both_2_and_3_with_dataset_expressions to None, run_after=None
[2024-10-23T10:47:10.741-0300] {logging_mixin.py:188} INFO - [2024-10-23T10:47:10.741-0300] {dag.py:3954} INFO - Setting next_dagrun for dataset_consumes_1 to None, run_after=None
[2024-10-23T10:47:10.742-0300] {logging_mixin.py:188} INFO - [2024-10-23T10:47:10.742-0300] {dag.py:3954} INFO - Setting next_dagrun for dataset_consumes_1_and_2 to None, run_after=None
[2024-10-23T10:47:10.743-0300] {logging_mixin.py:188} INFO - [2024-10-23T10:47:10.742-0300] {dag.py:3954} INFO - Setting next_dagrun for dataset_consumes_1_never_scheduled to None, run_after=None
[2024-10-23T10:47:10.743-0300] {logging_mixin.py:188} INFO - [2024-10-23T10:47:10.743-0300] {dag.py:3954} INFO - Setting next_dagrun for dataset_consumes_unknown_never_scheduled to None, run_after=None
[2024-10-23T10:47:10.745-0300] {logging_mixin.py:188} INFO - [2024-10-23T10:47:10.745-0300] {dag.py:3954} INFO - Setting next_dagrun for dataset_produces_1 to 2024-10-22 00:00:00+00:00, run_after=2024-10-23 00:00:00+00:00
[2024-10-23T10:47:10.746-0300] {logging_mixin.py:188} INFO - [2024-10-23T10:47:10.746-0300] {dag.py:3954} INFO - Setting next_dagrun for dataset_produces_2 to None, run_after=None
[2024-10-23T10:47:10.772-0300] {processor.py:183} INFO - Processing /home/beatriz/Documentos/airflow/airflow_venv/lib/python3.10/site-packages/airflow/example_dags/example_datasets.py took 0.283 seconds
